"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",42405,42283,40511,39779,39883,39359,40826,41775,44969,45970,46535,47293,47483,47492,48898,49303,51347,53333,55215,57203,59353,62229,62798,65156,65226,65889,65018,63083,62855,62558,61744,61120,60871,61725,62257,60858,60975,62563,58848,55972,53968,55746,53730,52383,50100,46025,44804,42504,43680,41842,39578,35750,39906,42275,36740,36453,38284,36412,36813,29454,28552,35253,25780,27492,30735,32798,31987,30914,33188,31181,30023,27910,26980,24425,22407,21111,19524,18094,16489,14794,12890,11025,8368,7347,6335,5183,4772,3948,3171,2567,2061,1656,1137,836,552,405,296,173,108,64,128,40638,39281,37999,37788,37632,37184,38669,39485,42364,43519,43435,44719,44663,44945,46378,46730,48984,50874,52834,54607,56467,59081,59558,61940,62500,63040,62281,61665,60890,60706,59967,59426,59716,61696,61663,60296,61155,62603,58783,56034,53845,55541,53737,52258,50461,46006,45259,42855,43478,41979,39864,36383,40970,43289,38021,37895,39970,38317,38979,31140,30811,38390,29176,30954,34596,37681,36376,35449,37850,36388,35409,34794,33257,31141,29067,28521,26594,25699,23906,22693,19877,18558,14993,14072,12625,10831,10027,8938,7556,6266,5171,4301,3175,2251,1805,1221,942,582,422,285,400
"02","Aragón",5442,5092,4961,4969,4842,4889,4935,5036,5057,5262,5177,5350,5507,5621,5658,5814,6334,6508,6637,7153,7581,8049,8571,9186,9419,9891,10031,9820,9817,9880,9602,9633,9622,9414,9472,9714,9554,9952,9697,9492,9037,9300,9253,8978,8801,8324,8271,7658,7802,7770,7325,7205,7559,7704,7157,7169,7066,7095,6636,6156,5851,6293,4574,5038,5978,6507,6671,6699,6979,6782,6741,6376,6216,6086,5687,5330,5155,5051,4635,4296,3791,3324,2484,2216,1868,1647,1554,1308,1109,938,667,545,427,343,257,193,137,80,44,29,33,5194,4676,4704,4511,4821,4663,4681,4844,4861,5177,4929,5014,5101,5325,5615,5575,5873,5976,6234,6669,7179,7739,8082,8634,8915,9080,9090,8931,9149,9005,8949,8911,8586,9064,9066,9131,8999,9342,9029,8971,8807,9059,8891,8578,8422,8119,7855,7473,7668,7582,7281,7004,7531,7843,7078,7213,7320,6966,6909,6061,5964,6457,4886,5330,6491,7262,7192,7426,7736,7660,7473,7501,7370,7195,6844,6494,6528,6362,6217,5977,5423,5058,4014,3901,3402,3045,2965,2610,2234,1961,1535,1315,947,746,572,423,338,203,139,91,127
"03","Asturias (Principado de)",3741,3489,3364,3269,3289,3242,3299,3366,3630,3759,3947,3991,4141,4420,4897,5288,5563,5705,6206,6350,6982,7467,7820,8280,8705,8846,8758,8350,7993,8195,8114,7770,7559,7585,7808,7664,7697,7977,7858,8029,7916,8274,8178,8087,8173,8042,7661,7440,7600,7425,7213,7288,7192,7383,6715,6980,6583,6268,5873,4932,4928,4970,4154,4540,5190,6076,5935,6187,6171,6182,5879,5832,5355,5210,4902,4553,4363,4092,3624,3416,2977,2641,1984,1726,1531,1374,1138,994,803,647,558,411,314,218,174,98,72,61,32,21,26,3455,3177,3147,3083,3093,3175,3186,3200,3388,3629,3734,3845,3889,4189,4631,4844,5210,5444,5909,6247,6800,7234,7567,7984,8299,8395,8342,8228,8075,8218,7830,7581,7525,7559,7727,7704,7875,8242,8103,8230,8126,8650,8480,8673,8559,8395,8086,7752,7949,7614,7288,7220,7674,7772,7107,7358,7223,6709,6382,5113,5248,5181,4676,5297,6020,6891,6825,7230,7259,7359,7159,7310,6864,6906,6490,6351,6191,5870,5631,5459,4689,4616,3710,3696,3080,2912,2543,2393,2126,1800,1367,1262,935,740,501,410,325,188,152,86,132
"04","Balears (Illes)",4799,4604,4328,4317,4305,4153,4150,4172,4278,4607,4627,4632,4547,4554,4711,4688,4994,5085,5236,5437,5826,6178,6578,6873,7258,7648,7800,7967,8043,8047,7963,7685,7554,7382,7614,7321,7448,7541,6881,6733,6570,6805,6450,6184,5952,5785,5713,5576,5600,5578,5273,5004,5183,5553,4906,4991,4861,4693,4401,3888,3686,3936,3053,3196,3445,3608,3451,3439,3479,3265,3057,3013,2761,2561,2605,2421,2259,2083,1986,1753,1682,1495,1125,1108,952,839,745,634,532,410,346,230,225,146,95,66,40,20,24,5,8,4666,4376,4212,4094,3987,3949,4075,3960,4302,4308,4287,4435,4404,4381,4510,4426,4717,4781,4800,5213,5599,5981,6252,6686,7070,7242,7472,7606,7619,7612,7627,7245,7294,7258,7130,7228,7157,7205,6917,6604,6392,6593,6314,6179,6085,5608,5711,5449,5353,5323,5084,4866,5098,5474,4882,4692,4627,4660,4513,3869,3687,3861,3168,3410,3662,3843,3851,3686,3970,3692,3669,3586,3458,3379,3273,3278,3039,3088,2825,2752,2408,2494,1930,1933,1740,1594,1415,1253,1073,876,698,615,483,358,288,206,113,86,66,43,47
"05","Canarias",10093,9703,9519,8831,8335,8476,8815,8929,9437,9796,9512,10121,10452,10594,10469,10508,10909,11222,12040,12440,13507,13816,14193,14584,15114,15798,16259,16713,16887,17421,17203,16855,16320,16277,16087,15914,15804,15986,15159,14464,13914,13460,12551,12166,11995,11710,11147,10560,10381,10363,9947,9673,9249,9274,8692,8748,8992,8437,8108,7961,6986,7450,5651,6198,6663,7000,7028,6856,6588,6390,5766,5223,4886,4440,4021,3840,3296,3164,2816,2534,2192,1793,1452,1365,1336,1130,1039,926,677,601,470,353,278,212,156,99,67,47,30,21,36,9732,9158,8999,8397,8214,8103,8471,8462,9046,9105,9047,9605,9787,10179,10225,10143,10520,10919,11594,12260,12835,13722,14070,14377,14568,14976,15605,15991,16514,16566,16124,16140,15825,15586,15673,15523,15732,15397,14573,14196,13647,13340,12297,11927,11522,11277,10890,10599,10318,10073,9806,9263,9136,9093,8925,8986,9057,8488,8264,8124,7119,7796,6134,6673,7275,8032,7716,7790,7402,7533,6668,6357,5968,5652,5101,4826,4414,4447,4001,3746,3253,2959,2454,2416,2287,2051,1937,1801,1369,1177,976,847,608,500,390,296,211,113,71,63,91
"06","Cantabria",2147,2188,2052,2040,2069,1975,1971,2046,2203,2393,2334,2466,2373,2614,2749,2861,3019,3194,3435,3564,3999,4124,4211,4429,4582,4603,4522,4352,4341,4218,4174,4308,4121,4302,4220,4234,4129,4064,4201,4187,4056,4182,4358,4259,4275,4054,3865,3676,3760,3764,3577,3558,3487,3672,3263,3204,2990,2770,2776,2337,2278,2433,1806,2169,2426,2736,2642,2737,2684,2698,2611,2517,2378,2356,2184,2059,1953,1890,1620,1509,1308,1068,841,868,708,635,559,436,397,299,249,189,140,105,64,49,43,20,7,9,9,2157,2077,1968,1815,1912,1847,1871,1886,2083,2087,2213,2260,2327,2467,2616,2670,2906,3025,3208,3401,3713,3855,4113,4320,4353,4448,4405,4094,4234,4240,4112,4124,4042,4001,4151,4236,4227,4084,4264,4123,4159,4346,4440,4272,4338,3912,3886,3754,3886,3600,3522,3521,3609,3635,3254,3244,3112,2928,2775,2504,2501,2559,2049,2301,2697,2933,2906,3085,3206,3204,3012,3176,2983,2997,2725,2737,2675,2516,2430,2268,2033,1903,1552,1684,1439,1345,1229,1148,991,791,665,552,388,361,258,204,129,95,70,45,71
"07","Castilla y León",9253,9214,8770,8893,9103,8982,9171,9579,10036,10461,10727,10991,11443,11831,12242,12727,13824,14072,14622,15309,16309,17180,17654,18678,18799,19425,18762,18747,18476,18518,18424,18318,18394,18460,18801,18683,19081,19312,19385,18819,18791,19314,19093,18457,18192,17705,16926,16216,16424,15568,15328,15156,15063,16198,13948,13857,14467,14033,13977,11986,12184,12734,9842,10523,12491,14404,13932,14233,14403,14503,14081,13618,12955,12726,12071,11727,10909,10351,9982,9266,8199,6735,5020,4615,4193,3836,3383,2873,2604,2141,1794,1425,1127,859,605,473,309,182,150,122,120,8743,8679,8582,8391,8688,8625,8802,8868,9607,9836,10012,10543,10866,10974,11676,12191,12716,13371,13891,14614,15207,16278,16921,17575,17972,18374,17987,17918,17629,17486,17559,17312,17744,17951,18231,18215,18691,19174,18241,18427,17894,18696,17978,17445,17216,16353,15485,14785,14843,14138,13956,14321,14628,14909,13381,13754,14449,13850,13814,12442,12387,13585,10376,11188,13680,16129,15499,15668,15997,16264,16083,16125,15354,15376,14989,14567,13879,13813,13343,12789,11061,10420,8221,8274,7323,6870,6575,5853,5412,4495,3772,3116,2548,1855,1438,1066,757,513,393,252,391
"08","Castilla-La Mancha",8881,8871,8853,8664,8716,8880,9128,9463,9878,10238,10362,10447,10536,10601,10640,10695,10865,11455,11582,12071,12707,12951,13267,13828,13751,14067,13957,13826,13878,13614,13711,14009,14038,14506,14187,14243,14495,14939,14373,13837,13724,14212,13494,12848,12266,11051,10536,9920,10211,9937,9266,9226,9393,9843,8543,8175,8504,8577,8506,6884,6644,9679,5062,7125,8616,8902,8894,8986,9644,9455,9303,9229,9099,8435,8242,7708,6945,6641,6456,6037,5268,4120,3077,3001,2471,2230,2017,1681,1478,1230,962,720,617,433,362,211,146,117,67,52,62,8519,8356,8422,8352,8391,8313,8724,8912,9273,9799,9752,9752,10086,9972,10216,10114,10447,10583,10665,11241,11344,12147,12222,12735,12746,13227,13103,13001,12960,13259,12850,13288,13575,13779,13574,13515,13861,14049,13631,13136,13019,13185,12605,12012,11466,10276,9829,9421,9514,9427,8855,8798,9178,9677,8546,8307,8599,8883,8776,7415,7072,10787,5795,7974,9526,10093,9797,9976,10527,10239,10246,10538,10284,9693,9287,9100,8567,8411,8053,7657,6907,6289,4834,4972,4385,3990,3671,3187,2900,2492,1982,1630,1260,929,690,519,352,236,163,130,147
"09","Cataluña",33189,32260,30456,29572,29519,28395,27779,28451,28869,29465,29227,29719,29959,30465,30910,31736,33841,34755,36690,39664,42933,45492,49018,52723,54848,56751,58695,57883,56552,56527,55811,54286,53346,53673,53920,53036,52590,52795,49284,48719,46929,47363,46898,46397,44872,42829,42603,41083,41700,41189,39339,37850,40811,42974,38279,37775,38606,37023,35054,29594,30126,35223,20296,26584,30906,31731,30580,29904,30512,29075,28118,27087,25532,24255,22810,21835,20737,19406,17605,16249,14426,11773,9063,8430,7309,6461,5804,4781,4106,3320,2552,2120,1478,1114,767,515,357,260,151,97,105,31723,30632,29278,27501,27818,26565,26633,27073,27574,28042,27703,27880,28138,28904,29134,30277,32381,32947,35222,37789,40440,43964,46305,49864,52439,54046,54894,54782,53755,53386,52430,51560,50801,50769,51706,50627,50874,51419,49158,47913,47323,48202,47795,47280,45678,43304,43451,42100,42401,41908,40571,39051,42101,44438,39475,39091,39860,38303,36435,30528,30886,36342,21565,28036,33251,35932,34336,33969,35023,34615,34088,33809,31720,31208,29909,29763,28374,27452,25707,24663,22282,21078,16904,16733,14393,13198,12065,10974,9460,8093,6596,5486,4185,3136,2434,1754,1260,827,548,405,479
"10","Comunidad Valenciana",21910,20830,20196,19629,19620,19370,19642,19805,20963,21438,21305,21825,22005,22557,23096,23357,24680,25689,26542,28491,30637,32581,34052,36283,37351,37917,37431,36773,36611,36196,35800,35466,35086,35186,35232,34703,34358,34788,33484,31780,31040,31831,31361,30069,29201,26832,26641,25375,25693,25962,24210,23612,24343,26015,22909,22996,23042,22288,22009,18810,19409,24123,14891,18765,19904,19730,19903,19365,19857,18521,18231,18022,16668,15670,14355,14139,13040,12069,11040,10155,8905,7275,5516,4969,4231,3706,3240,2827,2385,1832,1393,1176,826,627,464,272,197,136,72,43,131,20387,20078,19387,18638,18492,18210,18343,18723,19688,20268,20364,20658,20896,21102,21697,22124,23379,24342,25057,26951,29004,31242,32605,34363,35053,35711,35215,35484,34359,34025,34326,33531,33600,33881,34213,33683,33578,34289,32284,31714,31256,32104,31339,30244,29272,27379,27267,26031,26199,26261,25240,24305,25803,26734,23970,24142,24352,23683,23194,20095,20166,25921,16380,20643,21360,21813,21700,21841,22733,21303,21274,21764,20321,19890,18688,18599,17868,16741,15623,15439,13500,12360,9800,9533,8346,7293,6694,5809,4869,4323,3305,2824,2030,1593,1144,844,592,399,223,170,260
