"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",38914,42465,41972,42874,43016,42092,41140,42024,41982,43889,44544,47291,49118,49234,50136,50398,50261,51000,51973,53682,55929,58129,60826,62746,66756,67714,70329,70622,71165,70890,69458,68535,68326,67136,67440,66853,66779,67656,66407,65731,67227,63414,59884,58351,59180,56678,56144,53990,48979,47486,44542,45406,44644,41049,37789,40597,43372,39548,36395,40030,37157,38371,31716,28065,36105,26169,27416,30118,32226,31181,29781,31404,29940,27843,26287,24284,22504,19783,18533,16794,15124,13604,11912,10259,8470,6442,5249,4299,3515,3046,2427,1930,1500,1212,900,558,404,283,184,134,339,36540,40143,39348,40573,39636,39052,39239,40365,40223,41585,42211,44434,46679,45974,47149,47576,47196,48282,49431,50821,53295,54967,57752,59486,62778,63304,65686,66359,67237,66583,66066,64949,65153,64020,64130,64346,64860,66283,64264,64749,66226,62513,59146,57299,57963,55910,55374,53471,48503,47465,44761,45206,44462,41171,38151,41558,44750,40919,37777,41841,39150,40591,34140,30268,39553,29614,31142,34052,37881,36419,35013,37023,36244,34059,33872,31728,30291,27330,26820,24812,23378,21233,20417,17165,15845,12381,11171,9680,8027,7027,6165,4855,3939,3070,2516,1758,1231,974,674,513,983
"02","Aragón",5537,5628,5382,5566,5512,5412,5399,5358,5267,5412,5421,5500,5630,5523,5744,6018,6033,6030,6331,6828,7220,7399,8006,8559,9398,9806,10579,10854,11211,11324,11251,10944,11246,10743,10928,10617,10541,10410,10465,10355,10774,10357,10128,9699,9869,9700,9574,9260,8824,8556,7896,8002,8080,7353,7388,7562,7793,7233,7114,7164,7022,6680,6169,5717,6412,4425,4864,5562,6444,6287,6427,6606,6409,6286,6010,5717,5486,5142,4737,4486,4288,3868,3428,3137,2581,1921,1591,1351,1105,1005,805,603,575,372,285,174,152,98,80,52,76,5204,5248,5072,5362,5150,5031,4889,5179,5145,5123,5254,5227,5564,5423,5272,5519,5764,5867,6128,6289,6608,6858,7620,8012,8615,8986,9514,9822,9850,9948,9808,9734,9823,9602,9562,9375,9605,9719,9549,9609,9811,9476,9347,9274,9482,9088,8930,8860,8387,8184,7699,7808,7895,7322,7189,7570,7910,7185,7224,7431,7039,6998,6296,5887,6720,4849,5159,6135,7356,7045,7202,7541,7574,7076,7335,7013,6946,6425,6331,5906,5899,5691,5463,4757,4411,3443,3234,2675,2345,2092,1886,1467,1241,950,759,498,392,282,182,152,226
"03","Asturias, principado de",3432,3511,3353,3652,3574,3536,3383,3501,3431,3552,3537,3795,3954,4115,4119,4249,4583,5002,5450,5707,5882,6367,6592,7065,7622,7955,8458,8739,9056,8828,8674,8272,8416,8368,8039,7963,7826,8176,7952,8041,8322,8164,8249,8241,8475,8436,8319,8549,8190,7846,7682,7686,7662,7165,7252,7306,7466,6755,6851,6791,6187,5952,5048,4754,5043,3946,4444,4741,5841,5642,5919,5881,5891,5335,5471,4743,4749,4318,4109,3762,3453,2953,2782,2384,1998,1554,1259,1060,865,738,610,469,385,290,210,151,79,77,33,20,49,3111,3437,3306,3310,3316,3197,3232,3181,3334,3348,3441,3490,3856,3887,3972,4120,4308,4724,5058,5304,5651,6029,6434,7053,7459,7822,8109,8552,8442,8478,8464,8190,8355,8118,7920,7807,7763,7992,7997,8105,8463,8372,8344,8348,8753,8737,8762,8757,8635,8231,7959,7985,7888,7296,7240,7685,7852,7287,7323,7388,6774,6548,5333,5159,5449,4551,5277,5627,6988,6670,7040,7074,7379,6812,7221,6653,6701,6160,6084,5779,5504,5146,5009,4129,3934,3233,2999,2463,2270,1864,1740,1346,1220,813,760,463,408,235,172,121,221
"04","Balears, illes",4668,5396,5415,5153,5253,4898,4966,4988,4842,4863,4875,4907,5193,5307,5246,5171,5251,5220,5381,5642,5918,6287,6867,7398,8166,8694,9129,9556,10130,10178,10161,10215,10171,9865,9641,9207,9093,9014,8781,8730,8876,8244,7681,7577,7902,7317,7168,6951,6575,6310,6244,6115,6322,5820,5572,5634,6047,5494,5346,5315,5064,4908,4378,3935,4435,3347,3347,3603,3767,3460,3490,3416,3226,2974,2923,2627,2413,2398,2225,1931,1809,1694,1451,1396,1159,892,816,652,617,464,394,291,226,192,100,112,59,39,28,12,26,4273,5050,5009,5029,4922,4643,4692,4662,4581,4650,4596,4741,5037,4876,5005,5014,4919,5005,5139,5365,5779,5952,6650,7236,7857,8328,8809,9096,9236,9303,9433,9205,9179,9199,8674,8570,8337,8322,8260,8115,8240,7811,7461,7218,7463,7022,6944,6908,6341,6313,6131,5912,5996,5511,5500,5534,5990,5374,5203,5072,5049,5034,4358,3957,4279,3539,3609,3850,3997,4029,3740,4078,3767,3667,3622,3474,3354,3228,3148,2948,2884,2588,2570,2190,2144,1731,1606,1402,1236,1040,826,729,544,456,325,245,182,140,81,53,98
"05","Canarias",7279,9394,9814,10506,10599,10339,10091,9456,9722,10329,10440,10843,11343,11151,11486,11990,11989,11958,12120,12214,12916,13610,14770,15814,16759,17551,17995,18666,19506,19783,20224,20372,20872,20500,20283,19599,19179,19117,18692,18689,18812,17844,17081,16084,15847,14691,14145,13931,13341,12845,12015,11768,11680,11125,11073,10547,10307,9821,9474,9971,9472,8894,8865,7747,8375,6154,6713,6906,7511,7312,7073,6802,6496,5696,5257,4733,4389,3896,3591,3135,2847,2606,2199,2009,1523,1188,1136,1034,834,728,693,479,400,316,208,184,138,88,62,50,129,6875,8777,9123,9867,9858,9926,9336,10037,10228,9960,9885,10364,10643,10435,10994,11220,11589,11507,11661,11865,12496,13401,14586,15589,16634,17244,17548,17564,18088,18522,18942,19246,19113,18828,18849,18421,17741,17869,17716,17845,17662,16529,16262,15595,15169,13844,13566,13035,12671,12232,11949,11554,11186,10829,10476,10326,9989,9752,9769,10027,9282,9022,9005,7830,8726,6655,7087,7500,8508,8069,7987,7710,7690,6894,6504,5968,5762,5147,4719,4301,4271,3770,3586,3019,2780,2166,2064,1926,1661,1536,1391,1069,842,677,579,375,335,239,189,130,265
"06","Cantabria",2512,2544,2441,2251,2334,2214,2193,2250,2170,2162,2192,2291,2525,2464,2590,2575,2704,2824,3042,3161,3316,3555,3744,4129,4375,4455,4740,4856,4949,4904,4797,4688,4645,4587,4713,4568,4621,4585,4572,4464,4432,4462,4387,4408,4410,4515,4566,4472,4229,4059,3836,3797,3895,3619,3684,3546,3728,3376,3251,2970,2823,2820,2443,2253,2512,1733,2127,2325,2626,2605,2609,2570,2584,2425,2374,2151,2193,1935,1886,1657,1628,1377,1195,1069,837,660,634,485,438,363,284,218,169,141,96,77,47,26,14,22,22,2316,2339,2279,2210,2280,2127,1981,2009,2020,2039,2004,2198,2248,2297,2424,2422,2630,2678,2785,3026,3185,3370,3617,3831,4139,4367,4589,4684,4836,4743,4492,4580,4603,4439,4528,4405,4345,4479,4521,4494,4343,4464,4329,4343,4502,4631,4409,4471,4102,4003,3911,3944,3783,3606,3591,3645,3731,3420,3228,3224,3051,2870,2628,2438,2676,2045,2291,2659,2987,2874,3013,3130,3210,2915,3072,2918,2924,2633,2631,2530,2377,2312,2049,1816,1665,1383,1385,1175,1074,887,892,687,542,392,333,225,182,132,98,55,117
"07","Castilla y león",8615,8951,9279,9168,9557,9127,9368,9659,9514,9749,10162,10539,11132,11315,11463,11850,12279,12550,13316,14175,14728,15106,16059,16880,17944,18322,19468,19489,19890,19471,19554,19242,19111,19244,19138,19511,19328,19619,19482,19990,20131,20227,19653,19748,20038,19712,19124,18929,18325,17522,16644,16611,16349,15183,15430,15197,16292,14324,13667,14583,14054,14191,12451,11866,13149,9688,10365,11709,14349,13469,13602,13697,13887,13208,13033,11855,11847,10858,10687,9592,8997,8561,7724,6922,5386,4136,3433,3071,2659,2311,1864,1646,1283,1065,780,622,422,299,205,146,328,8039,8886,8567,8874,8893,8866,8755,9214,9123,9447,9360,10104,10416,10447,10962,11408,11397,12120,12524,13221,13933,14422,15248,15883,16731,17422,18067,18152,18848,18479,18413,18015,18045,17963,18220,18434,18511,18890,18836,19245,19876,18801,18962,18613,18934,18421,17960,17938,16901,16005,15138,15136,14714,14002,14513,14832,15179,13684,13616,14782,14003,14195,12792,12257,14003,10470,11107,12939,16326,15214,15483,15620,16112,15414,15862,14710,15124,14022,14148,13056,12781,12350,11609,10148,9139,7298,6907,5919,5405,5008,4260,3840,3084,2455,1917,1510,1053,765,545,394,768
"08","Castilla - la mancha",8440,9226,9101,9254,9582,9621,9424,9459,9688,10057,10200,10457,10998,11071,11240,11400,11384,11444,11633,11720,12675,12949,13710,14463,15004,15206,16176,16055,16253,16285,16067,16039,15712,15573,15980,15890,16106,16082,15797,15846,16370,15561,14975,14901,15104,14505,13985,13270,11898,11188,10625,10612,10644,9538,9674,9722,10148,9140,8218,8793,8765,8830,7468,6511,10154,4988,7096,8596,8828,8777,8771,9235,9106,8669,8784,8221,7938,7365,7080,5972,5667,5512,5024,4302,3234,2435,2141,1787,1574,1297,1147,933,707,539,358,337,221,167,88,76,138,7624,8690,8500,8911,8890,9098,9076,9117,9060,9528,9620,9917,10693,10450,10442,10887,10650,10831,10998,11230,11543,11882,12426,12945,13523,13828,14434,14144,15018,14624,14621,14460,14657,14186,14714,14939,15047,14776,14567,14696,15090,14490,13955,13748,13830,13337,12608,12253,10993,10382,9870,9833,10003,8947,9276,9488,10057,9059,8421,8957,9085,9158,8038,7000,11170,5910,7905,9517,10206,9860,9790,10469,10114,9789,10390,9821,9438,8788,8630,7951,7705,7194,7015,6140,5408,4091,4004,3438,3012,2662,2208,1880,1624,1226,948,689,484,362,247,169,317
"09","Cataluña",38583,38364,36526,35699,35463,33911,32993,32838,31997,31406,31527,31781,32535,32256,32722,32985,33473,34170,35048,37498,39416,41847,46490,50915,54974,59444,64887,67404,69402,71122,70716,68450,67958,66208,65156,63123,62013,61885,60705,59187,59499,55353,54209,51850,52183,50680,50454,49044,46166,45091,43484,43490,43359,40463,39458,41366,43499,40025,37384,39629,36773,35971,30520,28690,36302,20407,24974,29911,30915,29371,28613,28946,27757,26194,25495,23429,22182,20369,19584,17929,16577,14935,13176,11797,9142,7198,6148,5172,4439,3678,3033,2421,1850,1346,1103,697,505,325,210,134,254,36134,35836,34519,33940,33796,32335,30611,30850,29677,29624,29919,30108,31008,30394,30664,30832,31653,31720,33416,35697,37718,40520,44263,47380,51842,54934,59257,61630,63133,63702,63147,61592,60806,59183,58459,56917,56338,56849,55631,55265,55873,53035,51715,50805,51023,50664,50012,48920,46094,45255,44214,44001,44117,41686,40630,42699,45510,41370,39048,41171,38933,37731,32261,30383,38014,22040,27250,32923,36111,34193,33485,34670,34208,33087,33429,30695,30202,28654,28652,26688,25616,23683,22652,20097,18395,14843,13839,11614,10286,8888,7902,6505,5327,4071,3191,2299,1549,1206,799,550,909
"10","Comunitat valenciana",22858,23733,23320,23438,23108,22233,22159,22271,22319,22413,22537,23688,24289,24026,24425,24625,25095,25408,26051,27328,28908,29995,33220,35738,38278,40706,43576,44625,45258,45048,44428,43532,43155,42521,42288,41408,41110,41162,39920,39348,39762,37972,36118,35231,35426,34801,33761,32678,29942,29521,27762,27755,28555,26460,25842,26239,28009,25780,24775,25208,24382,24252,21423,20494,26572,16196,19961,21360,20820,20412,19765,19922,18602,17547,17553,15687,14709,13016,13143,11566,10450,9371,8468,7247,5688,4392,3636,2944,2520,2094,1782,1397,1099,746,620,378,282,218,122,103,199,21265,22596,21816,21979,21942,21523,20843,21064,20997,21169,21329,21991,23017,22955,23212,23459,23739,23613,24741,26047,27506,28914,31312,33442,36486,38006,39786,40600,41182,40624,40993,39283,38898,38770,38449,38300,38216,38645,37468,37020,38030,35768,35087,34384,34908,34136,33070,32501,30065,29867,28337,28419,28887,27142,26894,27966,29035,27063,25970,26838,26242,25473,23084,21385,28672,17593,21692,23146,22714,22468,22424,23147,21600,21123,21756,19845,19675,17979,18142,16939,15625,14247,14080,11956,10781,8599,7798,6536,5577,4979,4077,3274,2762,1927,1627,1093,780,556,376,267,586
