"codine","where_geoname","xy_0_1","xy_0_2","xy_0_3","xy_0_4","xy_0_5","xy_0_6","xy_0_7","xy_0_8","xy_0_9","xy_0_10","xy_0_11","xy_0_12","xy_0_13","xy_0_14","xy_0_15","xy_0_16","xy_0_17","xy_0_18","xy_0_19","xy_0_20","xy_0_21","xy_0_22","xy_0_23","xy_0_24","xy_0_25","xy_0_26","xy_0_27","xy_0_28","xy_0_29","xy_0_30","xy_0_31","xy_0_32","xy_0_33","xy_0_34","xy_0_35","xy_0_36","xy_0_37","xy_0_38","xy_0_39","xy_0_40","xy_0_41","xy_0_42","xy_0_43","xy_0_44","xy_0_45","xy_0_46","xy_0_47","xy_0_48","xy_0_49","xy_0_50","xy_0_51","xy_0_52","xy_0_53","xy_0_54","xy_0_55","xy_0_56","xy_0_57","xy_0_58","xy_0_59","xy_0_60","xy_0_61","xy_0_62","xy_0_63","xy_0_64","xy_0_65","xy_0_66","xy_0_67","xy_0_68","xy_0_69","xy_0_70","xy_0_71","xy_0_72","xy_0_73","xy_0_74","xy_0_75","xy_0_76","xy_0_77","xy_0_78","xy_0_79","xy_0_80","xy_0_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",45721,45926,44972,46620,47236,48415,52253,53104,55692,56998,59726,62129,63782,64302,65920,66642,65362,64303,65116,64413,64297,63060,62478,63981,62095,60855,61656,59193,55583,53821,54020,52523,52104,50720,45300,44809,41942,42821,42489,39791,37379,38336,40989,41115,34335,40066,37006,38844,34071,28160,35276,29772,28050,31864,34957,35754,33996,36501,36883,35564,35154,33380,32420,30367,29827,28781,27759,26726,25481,23973,21856,18823,16747,15576,14083,13516,13258,12077,11219,10580,9422,8086,7045,6022,4672,4389,3302,2802,2342,1753,1201,794,523,379,276,195,108,81,55,39,114,43193,43034,42637,44251,45111,45956,49755,51000,53094,54149,56490,58806,60465,60946,63160,64056,62870,62254,62285,61192,60900,60656,59930,62022,59605,59597,60692,57985,54472,52768,52891,51595,51269,49963,45342,44452,42362,42375,41749,39649,36933,38336,41454,41331,34852,40440,37698,39437,34953,28682,36746,30883,30142,33806,37769,38012,36120,38590,39051,37460,38241,36375,35508,33432,33330,32743,32015,30563,31100,28130,27518,25241,23481,22843,21133,20542,20767,19368,18835,17377,16972,14361,12950,11763,9560,8958,7248,6133,5342,4006,3326,2156,1465,1086,872,592,384,263,173,115,291
"02","Aragón",5005,5245,5069,5273,5433,5676,6232,6139,6625,6898,7469,7678,8374,8533,9082,9036,9167,8969,9392,9043,9119,9164,8926,9091,9335,9247,9573,9417,9155,8912,8779,9000,8700,8683,8207,8021,7518,7669,7784,7347,7317,7512,7688,7645,7114,7443,7182,7207,6703,6007,6845,5093,5187,6091,7131,7199,7275,7938,7641,7746,7684,7451,7404,7254,7191,6821,7187,6834,6431,6507,5768,4828,4552,3965,3733,3840,3655,3360,3344,2860,2624,2418,2338,1977,1748,1520,1229,1073,800,619,517,301,231,173,128,85,58,47,21,14,31,4613,4766,4897,5143,5257,5438,5864,5772,6258,6489,6988,7615,7901,8219,8704,8529,8607,8611,8709,8723,8644,8483,8457,8787,8830,8787,8866,8859,8564,8595,8705,8404,8416,8340,7733,7838,7234,7424,7544,7067,7027,7254,7628,7366,6842,7434,7119,7046,6543,5837,6746,5267,5144,6099,7559,7415,7534,7962,8138,7744,8078,8030,7896,7621,7683,7386,7605,7509,7543,7159,6874,6178,5878,5418,5205,5107,5267,4794,4826,4344,4122,3731,3476,2997,2766,2445,2088,1741,1511,1121,1057,691,469,376,262,196,130,97,57,34,95
"03","Asturias (Principado de)",3739,3878,4112,4460,4976,5141,5583,5785,6239,6524,7062,7473,8079,8483,8970,8983,8853,8358,8619,8579,8349,8133,7760,8210,7914,8150,7961,8016,7960,8002,8167,8183,7943,8421,7874,7627,7492,7559,7491,7254,7280,7371,7584,7131,6902,7141,6594,6366,5639,5050,5535,4335,4913,5099,6650,6588,6854,7107,7216,6902,7288,6672,6703,6428,6421,6221,6120,5691,5443,5237,4737,4142,3696,3387,3265,3022,2940,2645,2581,2181,1992,1761,1567,1386,1137,986,830,669,547,404,334,229,159,115,88,48,29,20,14,13,21,3693,3785,3818,4318,4661,4857,5201,5562,5922,6447,6824,7271,7799,8122,8324,8509,8458,8392,8297,8264,7968,7746,7573,7810,7575,7765,8104,7910,7823,7868,8260,8305,8283,8274,8223,7853,7752,7481,7729,7226,7027,7547,7654,7361,7155,7349,6882,6706,5574,5089,5589,4602,5370,5476,7198,6980,7328,7499,7758,7339,7719,7342,7528,7144,7153,6972,7056,6813,6900,6189,6066,5488,5426,4948,4789,4614,4753,4455,4371,3932,3907,3438,3140,2709,2576,2271,1851,1553,1376,1041,920,601,417,299,267,184,135,77,60,35,99
"04","Balears (Illes)",4103,4062,3885,4150,4153,4354,4555,4545,4686,4850,5133,5365,5476,5525,5845,5967,6038,5983,6061,6107,5773,5737,5639,5824,5911,5907,5953,5705,5384,5409,5621,5512,5407,5249,4977,5038,4873,4962,5150,4815,4760,4574,4942,4828,4474,4784,4466,4434,3965,3449,3940,3246,2990,3407,3703,3697,3577,3697,3734,3601,3502,3456,3228,3228,3198,3100,3012,2880,2845,2691,2679,2385,2218,2069,2033,1919,1863,1738,1544,1422,1285,1177,1009,856,748,566,485,404,312,231,198,128,76,62,41,21,12,14,4,8,26,3835,3852,3798,3948,3915,4133,4414,4303,4410,4737,4924,5023,5267,5459,5409,5636,5677,5599,5667,5702,5472,5579,5409,5638,5782,5661,5949,5663,5585,5484,5692,5437,5369,5416,5082,5177,4848,4785,5033,4545,4769,4508,4983,4753,4351,4431,4253,4321,3935,3337,3743,3189,3086,3516,3791,3899,3650,3971,3846,3770,3847,3740,3762,3619,3635,3703,3567,3446,3494,3243,3253,2956,2915,2734,2689,2714,2525,2404,2271,2204,2035,1832,1673,1577,1331,1136,1041,856,749,575,457,304,227,165,143,82,59,33,27,23,46
"05","Canarias",8931,9714,9658,9593,9874,9906,10578,10904,11624,12293,12869,12948,13266,13383,14073,14528,14759,15035,15534,15824,15197,14928,14182,14581,14263,14446,14483,14012,13317,12847,12549,11735,11331,11307,10941,10742,10051,9770,9860,9598,9403,9135,8921,8801,8365,8917,8638,8165,8066,7260,7921,5803,6135,6632,7606,7438,7564,7477,7320,6862,6398,6152,5884,5401,5241,4831,4608,4619,4210,4016,3438,2973,3053,2971,2869,2692,2748,2461,2218,2059,1867,1678,1419,1203,1055,859,634,494,394,361,237,168,113,97,65,45,26,13,15,11,20,8671,9136,9333,9276,9457,9569,10269,10629,11337,11938,12161,12749,13016,12841,13221,13679,14289,14642,14557,14547,14417,14282,13624,14279,13879,14013,14152,13481,13197,12923,12412,11469,11049,11030,10673,10532,10163,9932,9666,9335,8988,9091,8817,8616,8423,8942,8363,8005,8129,7074,7933,5980,6408,7021,8057,7875,7910,7906,7918,7388,7037,6731,6396,5991,5805,5409,5543,5351,5119,4587,4475,3828,3851,3766,3907,3910,3832,3356,3067,2887,2862,2388,2246,1965,1872,1538,1245,983,868,710,614,396,302,221,193,120,72,58,38,32,65
"06","Cantabria",2267,2359,2364,2561,2692,2875,3040,3212,3386,3641,3994,4039,4252,4466,4454,4449,4352,4319,4237,4229,4300,4183,4190,4227,4189,4076,4002,4232,4006,4153,4089,4199,4231,4118,4012,3829,3629,3605,3700,3668,3607,3478,3611,3481,3196,3112,2891,2909,2684,2328,2671,1966,2258,2427,2895,2877,2888,3006,3171,3029,3067,2844,2920,2820,2834,2652,2743,2536,2307,2237,1984,1723,1673,1606,1482,1460,1331,1320,1186,997,942,904,766,593,523,471,350,321,253,187,153,104,64,49,32,25,8,7,9,3,8,2154,2172,2273,2389,2502,2735,2905,2946,3292,3409,3607,3899,4180,4188,4373,4317,4106,4135,4122,3907,4104,3990,3892,4046,4079,4087,3965,3954,3963,3861,4117,4238,3998,4146,3854,3758,3713,3746,3560,3495,3434,3525,3609,3332,3052,3242,2978,2824,2650,2378,2668,2104,2271,2458,2944,3031,3094,3215,3307,3079,3377,3283,3171,3042,3126,3010,3097,2953,2801,2627,2587,2331,2350,2237,2152,2163,2093,2017,1995,1721,1660,1496,1334,1234,1110,967,884,724,623,520,435,283,216,146,126,95,58,34,25,18,28
"07","Castilla y León",10515,10851,11212,11693,12207,13006,14123,14212,15333,15776,16705,17638,18729,18807,19698,19832,19569,19616,20030,20273,20479,20520,20392,20481,20310,20681,20741,20741,19738,19790,19974,19473,19011,18842,17965,17548,16541,16494,16394,15423,15438,15412,16083,15418,13773,15067,14550,14708,13480,12213,14043,10632,10828,12273,15400,15057,15222,15974,15989,15964,16324,15075,15894,14856,15671,14304,14417,14350,13671,13499,11520,9825,8603,8462,8051,7869,7572,7128,6999,6479,5994,5662,5003,4365,3988,3293,2580,2326,1887,1369,1131,705,498,367,300,209,133,81,56,38,90,10064,10484,10528,11141,11632,12178,13307,13505,14616,14947,15532,16920,17684,18037,18946,19146,19191,19053,18943,19047,19195,19130,19409,19769,19547,19603,20242,19113,18742,18563,18509,18412,17479,17545,16393,15775,14831,14713,14465,13751,14253,14507,14758,14364,13086,14732,13939,14218,13149,11967,14099,10998,11035,12515,16327,15809,15804,16605,16770,16485,17411,16470,16747,16399,16888,15805,16058,15940,15554,14643,13779,12190,11826,11384,11066,11182,11097,10677,10561,9777,9090,8305,7548,6655,6040,5307,4587,4074,3369,2597,2259,1460,1076,831,692,453,317,236,178,124,236
"08","Castilla-La Mancha",9681,9975,9679,9768,9920,9992,10775,11074,11511,11720,12016,12435,13088,12973,13423,13583,13250,13156,13512,13137,13527,13688,13949,13951,13686,13754,14159,13721,13054,12916,13360,12835,12343,11799,10654,10028,9575,9647,9865,8869,9102,9017,9350,9147,7554,8548,8304,8797,7746,6276,9052,6173,6712,8519,9037,9159,9095,9987,9912,10170,10574,10081,10105,9816,10059,9051,9127,9174,9220,8708,7262,6176,5576,5474,4970,4801,4815,4519,4443,3984,3543,3291,2883,2627,2107,1927,1517,1320,1070,854,655,404,282,213,141,109,67,47,33,21,38,9119,9402,9032,9447,9464,9519,10240,10315,10719,10981,11343,11870,12150,12097,12971,12833,12889,12603,12727,12316,12884,13109,13020,13149,12986,12812,13368,12925,12244,12195,12351,11970,11408,11111,9917,9359,8921,8979,9121,8384,8632,8654,9190,8863,7657,8492,8340,8702,7972,6381,9551,6876,7210,9113,9997,9672,9602,10440,10345,10155,10977,10759,10536,10200,10244,9556,9988,9702,9836,9128,8578,7606,7285,7228,6958,6831,6699,6344,6427,5822,5433,4981,4369,3800,3378,3083,2391,2133,1898,1388,1198,817,533,395,310,241,182,93,72,48,116
"09","Cataluña",28426,27519,28285,29055,29633,31655,33822,34164,37173,38915,41140,44691,47861,49495,52042,53505,54000,52699,52650,52294,50985,49714,48755,50605,50140,49380,49637,47322,46231,45624,44970,44957,45168,44735,41916,41741,40934,40994,41492,39731,39008,40312,42663,42687,37185,41242,38470,38733,34149,30177,38461,25463,26404,33846,35717,35132,34281,35434,34894,34361,34127,32082,31795,30566,30629,29079,28513,27189,25836,25073,21660,18738,17538,15927,15194,14553,14034,13238,12384,10863,10214,8912,7953,6795,5820,4715,3877,3200,2692,2018,1583,1059,745,509,399,291,177,102,58,30,101,26465,26073,26677,27527,28394,29942,32038,32763,35100,36700,38964,42118,45234,47280,49121,50575,51062,49901,50154,49072,48432,47573,46728,48613,47684,47221,47908,46567,45094,44832,45090,45579,45042,45071,42216,42006,41593,41179,41869,40159,39565,40475,43402,42953,37895,41446,39124,38795,33937,30119,37898,25226,26423,33951,37495,36916,35455,37455,37393,36827,37425,35480,35178,33974,34680,33459,33408,31872,31532,29900,28854,25866,24880,23138,22219,21911,21899,20600,20000,18422,17528,16143,14319,12996,11605,10163,8520,7335,6333,4740,4282,2796,1897,1394,1090,827,532,309,247,135,298
"10","Comunidad Valenciana",20093,20493,20593,21442,22000,22472,24434,24407,26901,27879,29414,31469,33114,33603,34413,34371,34195,33448,33489,33093,33075,31834,31846,32745,32180,31527,32030,31301,29556,29457,29487,29792,28666,28348,25654,25835,24462,24662,25336,23838,23616,23535,25157,24407,21930,23445,22140,22602,20407,18146,23524,16753,17792,20665,20174,20219,20348,21471,20733,20262,21288,19842,19630,18335,19403,18092,17849,17074,16901,15962,13952,12071,10681,9853,9502,9179,8841,8101,7818,6744,6312,5394,5005,4122,3443,2933,2218,1969,1564,1093,896,627,391,251,207,136,94,67,37,18,42,19180,19473,19378,19782,20890,21221,23161,23473,25187,26310,28278,30186,31479,32010,32938,33052,33206,32356,32022,31721,31671,31169,30997,31576,31230,30955,31700,30529,29341,29180,29750,29496,28816,28276,26206,25910,25095,24916,25505,24275,24119,24250,25324,24624,22193,24076,22863,22647,20926,18060,24108,17145,18661,21463,21180,21196,21831,23026,22125,21974,23225,21702,21876,20978,21616,20902,20692,19686,20231,18701,17926,15927,14857,14482,13555,13391,12844,12117,11995,10548,10334,9238,8089,7272,6187,5634,4757,3978,3204,2423,2150,1420,977,747,549,390,240,150,113,65,162
