"codine","where_geoname","xy_0_4","xy_5_9","xy_10_14","xy_15_19","xy_20_24","xy_25_29","xy_30_34","xy_35_39","xy_40_44","xy_45_49","xy_50_54","xy_55_59","xy_60_64","xy_65_69","xy_70_74","xy_75_79","xy_80_84","xy_85_89","xy_90_","xx_0_4","xx_5_9","xx_10_14","xx_15_19","xx_20_24","xx_25_29","xx_30_34","xx_35_39","xx_40_44","xx_45_49","xx_50_54","xx_55_59","xx_60_64","xx_65_69","xx_70_74","xx_75_79","xx_80_84","xx_85_89","xx_90_"
"01","Álava",5946,5576,6291,8043,11202,12779,12435,12123,11275,10381,10007,9198,6864,7076,5598,3793,2040,1008,401,5838,5266,5899,7758,10657,12147,11905,12119,11481,10350,9829,8706,6506,7237,6394,5246,3554,2301,1158
"02","Albacete",9414,10078,11308,12275,14598,15290,15094,14956,13699,10179,9269,8232,8009,8948,8516,6224,3229,1535,608,9022,9546,10696,11355,13503,14355,14561,14606,12875,9970,9269,8611,8545,9823,9779,7873,4911,2807,1267
"03","Alicante/Alacant",37339,37107,41629,46884,59557,63872,60719,59097,53350,44807,41338,37896,35384,34975,29791,21410,10707,4623,1677,35086,35193,39543,44548,56397,60002,59139,58019,53411,45740,43127,40132,37394,37906,34904,28456,17383,9113,4270
"04","Almería",15844,15920,18183,19851,25213,26261,24414,22956,20209,16195,14027,11551,9714,11001,9004,6512,3155,1447,566,14696,14870,16587,18335,22075,22781,22049,21617,19257,15247,13863,11848,10595,12155,10937,8425,5054,2879,1438
"33","Asturias",17152,17296,21396,29112,39254,42142,38836,39225,40628,38168,35791,30636,23782,30551,27178,20048,10859,4956,1985,15955,16578,20288,27654,37884,41258,38222,40154,42488,39796,37061,32785,26422,35564,34729,29502,19791,11774,6098
"05","Ávila",2967,3406,4073,4499,5468,5754,5670,6157,6237,5386,4889,4430,4029,5309,5070,4189,2404,1291,622,2787,3258,3832,4395,5021,5189,5357,5828,5508,4389,4258,4294,4109,5540,5650,5278,3513,2161,1225
"06","Badajoz",16816,18941,21731,23327,24991,25700,25321,26526,24215,19162,17382,15981,13112,17157,14288,10178,5393,2306,1014,16128,17945,20456,21790,24330,24539,25076,25506,22587,17655,16797,16071,14534,19403,17288,14137,9240,5172,2687
"07","Balears (Illes)",22353,21360,23071,25440,32713,39505,38198,35924,31961,28252,25919,22834,17316,17242,13997,10502,6362,3160,1205,21335,20594,22017,23937,31588,37551,36554,35111,31563,27444,25404,22361,17788,19042,17365,14982,10505,6211,3003
"08","Barcelona",118077,107254,112189,132830,186134,221781,208232,193160,173312,156787,151034,136455,109928,113295,93126,68669,35734,16993,6602,111443,101777,105648,127017,177358,209923,198507,189987,179480,162960,158864,143318,115710,131821,120649,101688,67566,40088,20531
"09","Burgos",6862,6939,8213,9560,12359,13950,13824,13997,14097,12685,11718,10235,8025,9467,8827,7187,3896,1855,880,6536,6613,7641,9089,11633,13064,12744,13389,12751,10997,10124,9487,7894,10434,10531,9402,6116,3818,2095
"10","Cáceres",9174,10210,11937,13606,14825,14785,15385,16649,15973,12691,10504,9950,8947,11844,10293,7598,3919,1698,832,8632,9584,11344,12559,13775,13896,14519,15600,14394,11053,10004,10202,9699,13435,12195,10073,6327,3469,2041
"11","Cádiz",32288,32708,37584,43339,50062,49807,47703,45926,41417,34315,29985,27358,21747,22177,16879,10708,5486,2203,771,30103,30762,35566,41347,48264,48302,47270,45616,41361,33971,30236,27785,23841,25025,21034,15891,9894,5275,2485
