"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",34056,34507,34756,39974,40957,44143,46012,46248,47442,47971,47659,48643,49647,51626,53306,55265,57750,59099,62984,63997,65820,65815,66461,65894,64193,63467,62831,61536,61384,60845,60676,62032,60777,60514,62428,59191,56099,54850,55845,53519,53491,51755,46991,45589,42927,44095,43554,40179,36978,40008,42688,39088,36109,40220,37135,38608,31883,28348,36845,26625,28187,31464,34266,33531,32487,35071,34270,32400,31464,29773,28251,25647,24844,23380,21767,20311,18785,16857,14695,11886,10492,9354,7911,7366,6571,5672,4744,4117,3415,2546,2032,1497,1073,864,557,419,287,257,689,55,92,34526,34073,33537,38229,39016,41416,43794,43300,44691,45415,44864,46111,47316,48886,50998,52684,55184,56469,59797,60118,62675,62924,63909,63170,62291,61064,60802,59667,59546,59556,60000,61532,59732,60670,62308,58806,55772,54453,55361,53263,53223,51546,46823,45866,43367,43744,43227,39960,37085,40354,43709,39705,36813,41066,38342,39792,33430,29798,39238,29427,31118,34167,38685,37284,36082,38648,38320,36444,36754,35040,33970,31092,31321,29555,28717,26786,26830,23352,22874,19027,18111,16648,14676,14557,13114,11520,10228,8953,8117,6018,4851,3925,2912,2404,1636,1212,930,612,968,170,368
"02","Aragón",3740,4456,4547,4706,4816,4898,5040,4938,5202,5444,5459,5488,5755,6079,6375,6425,6924,7274,7783,7984,8574,8800,9244,9324,9286,9102,9287,8983,9100,8921,8815,8892,9277,9135,9570,9348,9214,8815,9046,8976,8906,8736,8233,8121,7622,7742,7879,7306,7303,7539,7864,7335,7236,7297,7190,6962,6429,5959,6709,4689,5155,5977,6951,6821,7121,7367,7198,7140,7020,6732,6624,6280,5986,5817,5903,5442,5098,4798,4186,3312,2975,2577,2338,2229,2037,1696,1585,1254,1034,827,758,574,428,347,206,154,113,70,83,15,34,3298,4316,4359,4504,4694,4624,5002,4895,4776,5004,5234,5344,5579,5711,5858,6037,6571,6866,7262,7630,8042,8447,8680,8768,8544,8618,8741,8615,8456,8346,8520,8725,8790,8746,8950,8761,8664,8655,8905,8559,8501,8419,8054,7860,7426,7587,7698,7164,7055,7485,7804,7161,7202,7431,7077,7012,6367,5902,6794,4943,5227,6300,7601,7262,7492,7909,7937,7549,7859,7659,7584,7081,7144,6877,6933,6794,6744,6108,5849,4919,4756,4229,3915,3730,3583,3185,2933,2422,2165,1727,1424,1142,916,746,534,388,282,184,181,65,112
"03","Asturias, principado de",2475,2765,3001,3271,3237,3577,3736,3924,3944,4068,4372,4776,5267,5565,5696,6136,6399,6935,7514,7887,8420,8779,9165,8936,8699,8333,8382,8287,7917,7732,7507,7876,7722,7776,7954,7860,8022,7994,8296,8277,8188,8360,8091,7729,7648,7710,7737,7254,7377,7469,7612,6961,7137,7009,6414,6196,5243,5040,5356,4201,4771,5181,6334,6221,6600,6660,6780,6320,6491,5843,5933,5490,5433,5054,4851,4377,4193,3785,3383,2760,2369,2104,1931,1722,1575,1332,1140,994,778,628,449,386,287,181,167,111,63,51,33,10,34,2355,2542,2901,3089,3173,3296,3611,3692,3792,3932,4130,4521,4826,5177,5461,5784,6159,6721,7170,7555,7951,8479,8441,8517,8530,8200,8252,7967,7710,7553,7490,7719,7678,7809,8140,8106,8082,8135,8563,8558,8635,8615,8519,8162,7938,7942,7887,7316,7288,7742,7888,7312,7370,7498,6858,6692,5410,5259,5528,4618,5440,5793,7231,6913,7315,7420,7809,7189,7704,7226,7350,6824,6840,6645,6511,6214,6284,5314,5277,4592,4443,3897,3717,3353,3389,2902,2743,2236,2149,1636,1403,1062,890,693,508,416,255,170,145,55,106
"04","Balears, illes",3836,3903,3827,4114,4222,4283,4617,4707,4686,4634,4619,4658,4784,5023,5085,5219,5384,5529,5817,5969,6161,6331,6666,6794,6931,7110,7231,7220,7046,6888,7031,7173,7171,7155,7348,6886,6455,6452,6747,6384,6259,6021,5930,5733,5669,5676,5831,5331,5245,5301,5773,5202,5163,5168,4906,4724,4209,3798,4345,3267,3358,3620,3955,3703,3740,3821,3655,3417,3369,3180,2991,3031,2915,2635,2547,2400,2188,2152,2002,1568,1535,1343,1258,1100,1053,849,718,609,457,471,318,232,172,117,73,55,40,22,19,6,13,3504,3587,3622,3942,3921,4171,4361,4304,4398,4415,4387,4453,4566,4631,4836,4845,5018,5304,5589,5636,5957,6191,6279,6475,6791,6847,6940,7076,6809,6931,6910,6976,7020,6986,7209,6863,6554,6445,6670,6270,6225,6251,5823,5858,5549,5502,5529,5114,5065,5187,5670,5054,4894,4786,4761,4797,4144,3747,4092,3339,3485,3796,4077,4085,3825,4190,3958,3836,3852,3751,3732,3571,3565,3432,3408,3140,3195,2845,2917,2394,2415,2160,2106,1933,1768,1601,1364,1225,970,882,732,606,459,313,256,169,147,83,63,36,45
"05","Canarias",6076,4892,5858,9108,9180,9490,9996,9927,10318,10804,10894,10832,10832,11072,11530,11983,12682,13424,13885,14101,14191,14699,15414,15861,16205,16398,16998,16943,16847,16387,15716,15979,15800,15912,15963,15391,14619,14021,13892,12845,12653,12386,12003,11597,10804,10629,10603,10229,10155,9732,9587,9194,8861,9485,8859,8432,8422,7363,8064,5836,6464,6855,7649,7523,7345,7308,7111,6268,5991,5509,5207,4716,4489,4016,3842,3667,3227,2998,2420,2008,1999,2001,1816,1573,1553,1192,1114,925,708,605,469,356,269,205,137,100,64,54,55,19,21,5470,5639,6610,8597,8526,9069,9367,9192,9824,10178,10465,10407,10580,10677,11049,11568,12380,12895,13392,13776,13905,13949,14566,14922,15595,15985,16280,15989,16038,15807,15455,15592,15381,15823,15637,14618,14526,13994,13807,12555,12349,11828,11565,11332,10858,10587,10220,9976,9685,9521,9233,8953,9110,9474,8662,8390,8545,7451,8225,6311,6692,7242,8387,8027,8028,7869,7987,7219,6905,6434,6249,5699,5374,4975,5194,4602,4474,3879,3698,3052,3042,2962,2789,2692,2584,2142,1881,1661,1564,1107,986,822,679,552,347,236,180,152,121,42,95
"06","Cantabria",1753,1816,1798,1902,1924,2068,2273,2251,2389,2401,2502,2598,2840,2970,3092,3320,3504,3830,4064,4160,4389,4494,4530,4455,4337,4223,4076,4069,4203,4033,4083,4079,4102,4045,4011,4041,4037,4058,4075,4223,4269,4229,4039,3861,3677,3670,3780,3550,3633,3493,3706,3364,3264,2988,2835,2853,2517,2304,2548,1781,2200,2438,2818,2770,2810,2829,2900,2738,2758,2532,2601,2397,2377,2181,2172,1942,1794,1636,1397,1164,1104,1018,895,817,712,604,540,426,361,311,216,160,124,114,54,48,29,29,82,4,12,1562,1647,1677,1775,1768,1971,2046,2106,2235,2236,2429,2491,2631,2842,2945,3165,3338,3586,3842,3960,4235,4202,4411,4279,4050,4036,4127,3888,4023,3860,3827,3992,4115,4089,3957,4168,4031,4019,4239,4366,4203,4277,3924,3799,3771,3780,3653,3486,3479,3572,3665,3292,3157,3119,2977,2827,2577,2421,2625,2009,2258,2622,3016,2900,3065,3203,3288,3040,3215,3106,3133,2852,2861,2873,2698,2656,2497,2261,2203,1954,1955,1767,1695,1590,1560,1389,1220,1034,923,699,641,470,440,288,243,171,125,92,110,33,53
"07","Castilla y león",7423,7849,7846,8959,9387,9795,10380,10645,10778,11262,11729,12031,12804,13620,14148,14586,15504,16226,17310,17705,18850,18959,19617,19354,19190,18858,18991,18954,18682,18911,18680,18858,18653,19036,19264,19427,18867,18886,19305,19049,18550,18320,17826,17227,16413,16448,16292,15172,15402,15295,16447,14459,13915,14856,14307,14469,12767,12138,13552,10050,10659,12296,15158,14421,14767,14996,15422,14806,14993,13795,14206,13140,13403,12207,11916,11641,10985,10220,8386,6766,6004,5614,5228,4839,4300,3964,3516,3090,2692,2225,1830,1387,1139,853,552,420,335,226,309,56,111,6908,7388,7550,8561,8635,9307,9700,9858,10404,10882,10824,11615,12032,12704,13372,13813,14782,15231,16062,16960,17886,17959,18823,18344,18398,18089,17942,17787,17731,17923,17822,18235,18189,18482,19120,18147,18211,17993,18404,17929,17494,17470,16515,15630,14871,14828,14554,13762,14318,14671,15089,13685,13486,14723,13916,14112,12819,12202,14041,10528,11199,13034,16606,15618,15935,16216,16804,16136,16872,15813,16310,15462,15852,14831,14717,14533,14142,12698,11828,9945,9771,9019,8676,8424,7849,7431,6636,5769,5058,4289,3397,2700,2219,1808,1278,1006,770,497,545,194,305
"08","Castilla - la mancha",7319,7277,7786,8979,9127,9517,10041,10034,10389,10431,10395,10443,10659,10639,11290,11437,12010,12232,12702,12667,13580,13247,13567,13536,13222,13234,13181,12815,13310,13444,13729,13659,13741,13900,14514,13981,13520,13448,13894,13255,12915,12186,11072,10372,9940,10060,10074,9069,9296,9390,9872,8901,7976,8727,8633,8732,7407,6435,10091,4900,7051,8701,9097,9050,9112,10003,9933,9667,10034,9596,9456,9015,8877,7859,7587,7629,7242,6596,5248,4170,3855,3476,3157,2944,2608,2339,2126,1712,1420,1259,948,786,521,431,292,200,160,103,70,29,47,7016,6999,7280,8438,8596,8951,9704,9524,9630,10024,9832,9999,10105,10334,10509,10728,11164,11271,11746,11917,12444,12165,13028,12680,12649,12399,12709,12288,12795,13037,13128,13033,13122,13324,13780,13342,12874,12607,12932,12397,11866,11513,10353,9789,9381,9371,9516,8499,8853,9124,9700,8643,8101,8636,8741,8866,7799,6766,10951,5706,7794,9377,10275,9822,9868,10687,10447,10193,11081,10595,10314,9822,9747,9153,9184,8798,8736,7971,7416,5912,6020,5510,5259,4893,4559,4097,3822,3234,2791,2211,1839,1421,1141,898,606,434,372,221,184,78,139
"09","Cataluña",27532,27229,27184,27512,27885,27999,28994,28773,29189,29428,29817,30421,31225,33248,34119,35738,38282,40909,43528,46554,49892,51313,53167,54571,54291,52578,52404,51732,50663,49829,49729,51170,50902,50200,51172,47952,47266,46165,46345,45838,45856,44818,42755,42250,41131,41610,41911,39369,38499,40838,43349,40043,37712,40259,37657,36960,31640,29883,38180,21503,26630,32354,33746,32296,31893,32678,31708,30475,30176,28030,27263,25701,25444,23922,22710,21092,19718,18429,14994,12337,11440,9968,9275,8397,7465,6712,5705,4620,4033,3089,2537,1809,1340,1028,733,507,353,229,194,80,121,25368,25614,25257,25868,26574,26658,27692,27168,27369,27613,28342,28348,29739,31589,32276,34147,36430,38528,41611,43733,47202,49362,50840,51897,51584,50821,50424,49250,49133,48353,48272,49595,48959,48940,50187,47773,46920,46557,47062,47007,46777,45933,43481,42950,42113,42274,42554,40313,39390,41800,44875,40812,38587,40944,38910,37768,32344,30488,38441,22177,27541,33518,37135,35290,34798,36404,36115,35267,35814,33433,33205,31839,32331,30808,30029,28412,27998,25580,24528,20644,20185,18042,16932,15812,15103,13264,12271,10261,9249,7556,6037,5091,3873,2991,2169,1614,1183,767,568,277,409
"10","Comunitat valenciana",16380,17380,17726,18800,19169,20328,21146,20900,21544,21685,22317,22776,23379,24249,25367,25881,28186,29487,31135,32496,34623,35343,35655,35328,34743,34234,33824,33779,33528,33038,32937,33598,33350,32948,33479,32539,31038,30609,30874,30744,29897,29353,26701,26554,25365,25410,26442,24346,24088,24396,26203,23784,23010,23598,22611,22694,19923,18878,25359,14638,18683,20515,20423,20481,20088,20993,20070,19399,20103,18321,17790,16188,16903,15287,14366,13508,13036,11736,9670,7813,6934,6086,5598,5164,4628,4054,3471,2739,2315,1755,1509,1096,820,573,359,300,180,173,150,110,78,15337,16290,16491,17722,18215,18996,19971,19877,20585,20689,20909,21012,22064,23165,23920,24625,26368,27730,29732,30919,32521,33309,34010,33711,34086,32734,32602,32599,32315,32214,32240,33201,32643,32508,33464,31702,31192,30679,31416,30888,29948,29453,27229,27208,25874,25982,26537,25018,24640,25582,26636,24452,23522,24653,23762,23295,20949,19285,26753,15845,20072,21968,22069,21977,22380,23415,22190,22023,23156,21348,21471,19973,20640,19724,18702,17522,17972,15771,15002,12553,11944,10801,9864,9247,8428,7439,6926,5517,5111,3955,3263,2490,1917,1551,1139,765,538,339,352,178,250
