"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"02","Albacete",1764,1861,1832,1856,1946,2061,1985,1997,2149,2206,2388,2268,2214,2269,2297,2323,2440,2507,2653,2676,2731,2899,3159,3051,3115,3074,3101,3092,3017,3021,3025,3084,3058,3077,3047,3076,3195,3012,2901,2910,2974,2833,2666,2536,2161,2082,2045,2054,2057,1859,1881,1935,2005,1779,1607,1747,1693,1767,1599,1443,2197,1079,1572,1770,1833,1867,1746,1865,1833,1831,1904,1715,1731,1633,1578,1370,1361,1282,1173,1061,812,648,563,563,470,434,405,304,264,191,181,133,106,87,55,46,39,25,21,11,9,1707,1698,1755,1763,1803,1870,1919,1866,2111,2099,2162,2142,2112,2261,2177,2219,2281,2265,2441,2522,2582,2685,2816,2787,2991,2954,2849,2831,2892,2785,2983,3010,3009,2970,2937,2980,3052,2914,2823,2708,2738,2608,2566,2433,2099,2077,1996,2026,1931,1778,1864,1817,2050,1752,1720,1771,1887,1739,1627,1526,2299,1160,1690,1863,2067,1942,1909,2067,1981,1986,2173,2059,1922,1808,1816,1673,1662,1552,1558,1374,1236,974,995,832,823,779,629,561,545,388,377,270,194,147,135,87,63,45,40,13,25
"03","Alicante/Alacant",6659,6562,6020,6873,7160,7236,7372,7725,8125,8204,8495,8360,8652,8782,9082,9190,9465,9533,10319,10707,11297,11729,12311,12619,12782,12592,12754,12608,12313,12313,12255,12363,12001,12225,12279,11960,12507,11971,11467,11143,11201,11026,11017,10567,9390,9507,9058,9169,9284,8662,8399,8389,9244,8418,8090,8338,8182,8077,7065,6810,9094,5894,7317,7392,7368,7556,7479,7646,7197,7053,7335,6541,6323,5677,5912,5274,4968,4487,4236,3841,3170,2454,2042,1840,1687,1391,1317,1086,905,645,535,405,338,247,191,119,82,57,42,39,101,6223,6458,5519,6467,6776,6897,7062,7198,7731,7714,7884,8144,8269,8224,8548,8835,8822,9265,9667,10312,10912,11050,11531,11891,12250,11982,12170,11957,11789,11940,11938,11865,11905,12294,11950,11741,12471,11634,11357,11068,11212,10981,10945,10624,9685,9758,9131,9249,9339,8817,8619,8917,9373,8704,8392,8804,8569,8264,7570,7086,9591,6262,7689,7911,8056,7998,8021,8445,7766,7731,8262,7441,7488,6813,6970,6685,6380,5753,5785,5164,4656,3879,3622,3104,2850,2614,2270,1931,1719,1377,1250,919,776,518,457,352,243,195,119,70,199
"04","Almería",2912,2685,2739,2870,2758,3125,3136,3255,3466,3421,3751,3667,3661,3802,3667,3759,3864,4017,4131,4309,4476,4697,4837,5068,5194,5174,4989,5052,5088,4877,4954,5044,4891,4985,5025,4744,4835,4683,4360,4201,4365,4211,4125,3845,3542,3444,3204,3260,3140,3016,2789,2825,3053,2663,2570,2664,2296,2324,2003,1814,2438,1465,1839,2168,2323,2252,2244,2305,2171,2082,2066,1842,1804,1723,1696,1522,1459,1243,1253,979,833,702,605,518,444,432,358,275,254,206,194,135,97,65,50,41,18,16,16,8,73,2676,2456,2466,2909,3007,2944,2893,3067,3194,3239,3467,3263,3365,3446,3482,3535,3638,3752,3931,4037,4253,4274,4453,4465,4657,4551,4447,4481,4386,4412,4250,4339,4421,4476,4545,4390,4592,4235,3966,3935,4075,3845,3884,3769,3203,3225,2953,2966,3037,2848,2780,2760,2914,2678,2600,2580,2350,2345,2121,1855,2561,1650,2097,2362,2500,2511,2442,2406,2466,2370,2456,2151,2203,2050,2004,1986,1740,1556,1679,1420,1220,1121,1001,940,833,823,699,548,565,457,458,326,228,211,134,100,63,49,42,32,89
"01","Araba/Álava",1284,1126,1142,1139,1149,1107,1066,1132,1136,1194,1204,1253,1325,1342,1426,1511,1629,1695,1784,1976,2105,2213,2397,2501,2649,2550,2603,2577,2519,2612,2400,2532,2550,2520,2551,2505,2575,2398,2345,2349,2313,2339,2279,2253,2180,2063,2055,2085,2168,1962,1966,2071,2155,2027,1998,1991,1959,1846,1606,1477,1665,1183,1328,1333,1558,1491,1447,1459,1400,1367,1283,1095,1113,952,942,880,790,739,700,594,506,411,395,348,308,253,240,192,183,138,115,90,66,42,45,18,19,8,7,7,7,1216,1181,1131,1091,1075,1007,995,1106,1111,1112,1162,1133,1311,1234,1311,1555,1506,1616,1698,1935,1957,2146,2282,2255,2500,2509,2501,2351,2400,2498,2380,2415,2292,2413,2455,2480,2471,2388,2468,2361,2406,2277,2289,2255,2204,2149,2028,2056,2029,1960,1921,2032,2065,1906,1868,1961,1796,1763,1451,1385,1530,1202,1169,1252,1603,1426,1437,1450,1427,1428,1399,1257,1256,1164,1155,1172,1067,1010,1023,901,875,702,710,651,610,549,531,504,404,351,261,248,206,129,112,58,51,51,28,21,23
"33","Asturias",3096,3232,2831,2923,3114,3359,3343,3626,3794,3970,3986,4103,4396,4804,5284,5582,5711,6129,6398,6920,7451,7809,8321,8674,9015,8861,8627,8254,8366,8305,7945,7824,7627,7995,7801,7861,8056,8010,8094,8058,8365,8291,8239,8420,8119,7768,7659,7704,7706,7218,7324,7392,7567,6882,7009,6896,6317,6114,5179,4917,5249,4086,4641,5013,6153,6018,6361,6396,6500,5969,6137,5489,5541,5093,4981,4622,4395,3917,3725,3324,2916,2345,1965,1712,1562,1343,1221,990,830,716,543,432,296,241,158,104,106,68,33,27,40,2844,2915,2719,2690,3037,3165,3249,3322,3686,3740,3829,3962,4165,4545,4854,5186,5482,5772,6160,6706,7223,7573,7962,8484,8427,8482,8485,8222,8305,8024,7759,7653,7621,7819,7788,7870,8243,8187,8170,8191,8591,8598,8660,8631,8506,8109,7890,7913,7818,7245,7221,7648,7820,7236,7291,7417,6771,6597,5306,5187,5424,4538,5362,5671,7105,6795,7198,7276,7620,7034,7507,6996,7144,6582,6583,6380,6170,5875,5858,4942,4890,4196,4020,3440,3294,2869,2831,2417,2230,1720,1625,1196,1020,710,580,446,307,236,147,96,136
"05","Ávila",280,259,326,380,458,680,677,713,739,738,770,826,848,869,923,873,912,879,962,990,1092,1073,1162,1195,1226,1232,1171,1150,1135,1112,1142,1187,1129,1200,1198,1202,1275,1314,1281,1292,1326,1290,1238,1202,1133,1159,1050,1051,1084,969,958,1008,1027,990,880,985,950,899,823,773,941,666,759,887,1051,1040,1099,1048,1140,1059,1159,1036,1024,953,986,924,925,849,837,754,621,512,461,394,393,350,303,265,232,220,167,137,113,89,66,51,39,23,23,12,24,249,286,315,354,453,672,639,666,679,710,801,797,772,793,846,885,891,884,871,907,947,1048,1086,1053,1050,1087,1035,1059,1070,1018,1049,1104,1094,1121,1176,1088,1187,1166,1199,1161,1178,1056,1101,1020,946,903,887,820,858,798,845,891,906,820,837,893,866,872,809,787,971,689,778,845,1165,966,1109,1085,1196,1147,1205,1142,1120,1106,1118,1126,1102,1044,1086,973,882,722,666,627,578,563,527,497,411,400,270,280,212,151,120,95,82,46,45,28,52
"06","Badajoz",3078,3125,3219,3225,3158,3655,3745,3924,4187,4207,4360,4410,4527,4537,4555,4504,4758,4791,4985,4994,5116,5137,5186,5148,5284,5266,5261,5279,5314,5093,5156,5142,5301,5169,5307,5377,5653,5487,5327,5118,5338,4918,4914,4522,4250,4008,3709,3916,3913,3675,3242,3580,3770,3566,3057,3433,3528,3561,2824,2240,3291,2199,2492,2971,3578,3614,3300,3554,3548,3372,2969,3040,3006,2672,2596,2385,2147,2084,1892,1817,1439,1163,1032,846,724,608,592,520,443,360,303,234,193,140,77,64,38,30,25,18,21,2930,3058,3083,3300,3482,3468,3577,3816,3941,3990,4090,4198,4196,4240,4181,4226,4438,4440,4744,4673,5038,4928,5128,4954,5091,4993,4990,4895,5002,5004,4981,5009,5068,5345,5116,5182,5442,5169,5053,4858,4833,4650,4524,4142,3834,3710,3487,3497,3474,3414,3119,3337,3815,3340,2917,3410,3457,3525,2955,2411,3602,2573,2714,3108,4056,3879,3716,3978,4040,3711,3648,3523,3507,3293,3258,3030,3026,2931,2672,2560,2294,2041,1827,1564,1474,1371,1298,1072,1048,917,733,566,428,356,254,187,128,99,70,47,58
"07","Balears, Illes",4031,3740,4269,4357,4323,4460,4519,4561,4886,4875,4928,4874,4867,4864,4945,5163,5258,5417,5613,5867,6302,6642,6960,7269,7859,8039,8178,8337,8463,8408,8209,7933,7988,8033,7989,7959,8167,7568,7088,7020,7295,6867,6665,6443,6255,6064,5924,5930,6056,5573,5430,5468,5943,5353,5316,5281,5008,4837,4282,3848,4427,3338,3383,3660,3927,3658,3708,3745,3529,3279,3250,3051,2836,2860,2726,2426,2322,2182,1982,1909,1730,1337,1303,1120,1034,853,811,657,512,455,307,311,207,155,106,59,38,38,17,9,19,3816,3612,4000,4109,4089,4283,4221,4424,4696,4505,4632,4626,4593,4669,4740,4847,5006,4959,5272,5680,6028,6273,6657,7171,7287,7561,7894,7937,8001,8064,7728,7694,7595,7630,7598,7534,7684,7301,7003,6804,7013,6622,6537,6509,6006,6024,5721,5659,5716,5226,5244,5298,5821,5218,5004,4890,4859,4871,4222,3834,4182,3422,3537,3838,4062,4118,3838,4172,3921,3811,3792,3691,3614,3492,3447,3331,3288,2990,3056,2680,2707,2226,2181,1946,1851,1670,1502,1317,1040,936,722,629,489,401,282,187,130,105,68,35,62
"08","Barcelona",23018,22179,21894,22078,21582,21205,21365,21407,22005,21775,22140,22331,22740,23115,23743,25207,25901,27171,29440,31805,33443,36058,39217,40508,42655,44279,44375,43371,43031,42589,41813,40882,40651,41476,40742,39910,40400,37437,36566,35369,35696,35081,35158,34228,32666,31879,31170,31451,31760,29775,29116,31282,32875,30312,28458,30670,28641,27973,23728,22293,28858,16420,20085,24002,24596,23513,22914,23404,22451,21376,20906,19180,18508,17201,16971,15823,14762,13534,12403,11381,9089,7398,6694,5772,5312,4722,4097,3353,2902,2283,1939,1405,1117,785,578,396,268,173,105,78,129,21593,21178,20227,20779,20063,20079,20335,20510,21043,20753,20786,21074,21529,21599,22869,24019,24673,26046,28086,29892,32104,34034,37179,39159,40427,41869,41924,41353,41127,40458,40032,39064,39011,39830,38957,38825,39331,37371,36325,35956,36270,36365,36409,35497,33586,33143,32351,32757,32849,31110,30301,32427,34823,31482,29777,31847,30219,29302,24777,23133,29362,17365,21140,25404,28022,26390,25899,27115,26789,26029,26192,24353,24081,23153,23438,22149,21529,20142,19660,17786,16717,13981,13509,12009,11124,10208,9632,8263,7385,6171,5259,4227,3241,2613,1954,1472,969,737,495,316,467
"48","Bizkaia",4439,4370,4264,4250,4034,4064,4002,4252,4368,4299,4464,4532,4728,4916,5416,5582,5911,6232,6622,7273,7614,8223,9039,9503,9818,9803,9671,9622,9856,9712,9408,9414,9300,9481,9411,9455,9830,9394,9200,8877,9103,9336,8867,8961,8284,8100,7780,7733,7772,7211,7475,7714,7846,7327,7035,7220,7053,6729,5953,5608,6244,4551,4960,5498,6042,6170,6235,6281,6179,5877,5706,5317,5153,4744,4472,3990,3674,3283,2913,2511,2176,1804,1510,1367,1165,1010,874,791,666,462,388,277,236,173,108,80,64,37,31,17,28,4116,4068,3873,3956,3965,3795,3925,3929,4093,4167,4169,4379,4613,4789,5067,5272,5542,6010,6433,6843,7344,7940,8615,8918,9458,9501,9348,9076,9285,9278,9048,8964,9009,9064,9249,9484,9709,9473,9148,9151,9241,9398,9121,8987,8519,8232,7904,7910,7848,7283,7668,7808,8040,7370,7304,7760,7347,7067,6045,5875,6559,4921,5411,6081,7281,6682,6929,7058,7237,6716,6777,6165,6371,5901,5785,5641,5203,4869,4634,4166,3915,3247,3093,2865,2526,2366,2297,1962,1695,1367,1349,997,790,628,471,347,228,145,111,81,128
