"codine","where_geoname","xy_0_4","xy_5_9","xy_10_14","xy_15_19","xy_20_24","xy_25_29","xy_30_34","xy_35_39","xy_40_44","xy_45_49","xy_50_54","xy_55_59","xy_60_64","xy_65_69","xy_70_74","xy_75_79","xy_80_84","xy_85_","xx_0_4","xx_5_9","xx_10_14","xx_15_19","xx_20_24","xx_25_29","xx_30_34","xx_35_39","xx_40_44","xx_45_49","xx_50_54","xx_55_59","xx_60_64","xx_65_69","xx_70_74","xx_75_79","xx_80_84","xx_85_"
"01","Araba/Álava",6222,8179,11090,12185,11556,11234,10731,10121,10117,9094,7544,8011,6510,4909,3292,2415,1530,842,5782,7985,10476,11722,11254,11316,11027,9984,9644,8598,6853,7482,6578,5679,4316,3709,2571,1889
"02","Albacete",10551,12046,14197,14955,15142,14271,12380,9662,9007,8200,8521,9571,9750,8499,5360,4121,2485,1506,9963,11326,13345,14155,14631,13663,11762,9340,8938,8384,8880,9944,10418,9071,6829,5598,3698,2508
"03","Alicante/Alacant",38557,45192,56375,57510,54452,51774,47386,41459,38694,34500,32109,32910,32645,28848,18638,12543,7243,3814,36569,43291,53493,55251,53031,51354,48056,41878,39601,34978,33438,35457,35720,32912,24180,18015,12249,8441
"04","Almería",16470,18661,20753,20688,19960,18659,17152,14516,12985,10897,10003,11444,10595,8996,5627,4156,2507,1319,15370,17849,19662,20024,19438,18540,16891,13918,12848,10814,10495,12137,11450,10010,7244,5989,4512,2917
"05","Ávila",4088,4871,5908,6302,6602,6789,6436,5364,4982,4532,4408,5620,5888,5606,3894,3075,2026,1321,3864,4676,5626,6054,6332,6233,5478,4353,4317,4200,4308,5626,5967,5980,4605,3986,2883,2178
"06","Badajoz",21517,23632,25931,27778,27372,26874,23822,19165,17431,16353,15163,19056,17841,15189,9825,7107,4616,2517,20182,22154,25374,26407,26479,25747,21987,17373,16463,15913,15962,19951,18647,17342,13642,11615,8368,5593
"07","Balears, Illes",20354,22989,27356,30172,28881,28323,26765,24839,23584,21103,17286,18303,16608,14529,11384,8488,5076,2590,19347,21998,26079,28283,27868,28295,26990,24387,23377,20283,17351,19145,18605,17458,14549,12117,8449,5927
"08","Barcelona",107933,133517,180756,208912,195407,182258,168832,156416,156643,143220,126297,134109,119203,98874,63814,46254,27823,15091,101950,126602,171279,197358,186745,177760,171568,160767,160905,145380,127327,142209,134492,120882,93325,77023,54537,38939
"09","Burgos",7917,9639,12556,13845,14174,14249,14144,12634,11708,10463,8741,10537,10577,9650,6330,4692,3214,1895,7441,9240,11966,13195,13065,13447,12499,10758,10158,9263,8554,10656,11417,10721,8027,6947,4949,3504
"10","Cáceres",12032,13892,15711,16560,16981,17131,15632,12437,10495,9934,10013,12836,12229,10578,6669,4981,3629,2045,11359,12979,14772,15712,16064,16131,14019,11011,9895,9933,10459,13613,12990,11824,9026,7995,5981,3916
"11","Cádiz",38001,45125,53275,54283,51555,46152,41231,34496,30866,28275,24360,25758,21451,16930,10871,7186,4136,1908,35680,43196,50877,51773,48997,44791,40181,34123,30360,27650,24978,26457,23259,19598,15335,12084,8036,5170
"12","Castellón/Castelló",11368,13848,17824,18048,17682,17312,16228,14062,14158,12821,11411,12829,12220,11324,7468,5841,3835,2140,10802,12836,17141,17414,17085,16775,15615,14078,13687,12639,11572,13215,13136,12494,9825,8294,5804,3913
