"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"02","Albacete",1695,1814,2038,1952,1984,2135,2164,2343,2250,2187,2272,2275,2291,2404,2496,2621,2612,2700,2826,3097,2946,3038,3006,3007,2969,2944,2909,2898,2997,2982,2940,2964,2969,3079,2936,2836,2826,2925,2763,2603,2464,2133,2049,2020,2010,2016,1844,1857,1922,2009,1780,1608,1760,1696,1770,1610,1445,2197,1083,1570,1801,1866,1895,1769,1917,1878,1898,1988,1805,1866,1755,1692,1499,1533,1432,1342,1229,972,781,729,680,636,587,552,452,389,310,278,225,194,160,106,90,70,54,38,21,19,6,3,9,1612,1695,1834,1874,1836,2081,2051,2121,2146,2088,2249,2144,2202,2261,2251,2433,2524,2529,2639,2780,2711,2928,2890,2828,2778,2821,2729,2927,2966,2928,2917,2864,2919,2978,2872,2788,2654,2671,2542,2528,2391,2064,2057,1976,1986,1903,1752,1856,1813,2020,1744,1701,1764,1876,1719,1625,1524,2276,1154,1680,1861,2052,1939,1932,2063,2009,2016,2225,2104,1979,1891,1897,1739,1750,1651,1680,1497,1350,1111,1138,998,979,964,814,737,728,587,551,432,319,273,238,171,103,96,78,43,28,18,12,17
"03","Alicante/Alacant",6500,6901,7449,7558,7974,8360,8464,8739,8599,8880,8171,8445,8656,9719,9050,9893,11014,10746,11001,11563,11687,11832,11527,11583,11396,11148,11181,11107,11100,10880,11038,11178,10930,11410,10990,10508,10275,10275,10161,10297,9797,8791,8912,8430,8506,8718,8015,7881,7822,8656,7818,7445,7748,7539,7443,6424,6138,8372,5176,6538,6686,6724,6911,6836,7137,6808,6731,7101,6450,6286,5771,6116,5520,5220,4798,4654,4332,3544,2884,2443,2208,2086,1821,1683,1461,1265,965,793,663,569,422,331,227,160,131,97,91,52,26,9,14,6252,6624,7094,7285,7542,8031,8053,8238,8433,8602,7718,7968,8281,9301,8842,9258,10682,10246,10299,10753,10997,11333,11066,11232,10968,10820,10931,10942,10903,10964,11276,11004,10902,11512,10750,10574,10277,10510,10268,10232,10016,9037,9088,8508,8638,8756,8260,8067,8274,8737,7989,7673,8051,7843,7507,6834,6334,8780,5492,6927,7225,7373,7366,7484,7887,7290,7362,7985,7191,7296,6675,6928,6773,6432,5833,5963,5430,4932,4232,3990,3441,3291,3067,2711,2419,2243,1874,1721,1390,1176,871,755,638,481,337,240,155,151,64,41,66
"04","Almería",2410,2475,2913,2982,3130,3345,3333,3640,3556,3522,3693,3542,3651,3739,3910,4013,4176,4281,4402,4420,4525,4599,4539,4374,4488,4425,4309,4362,4522,4467,4587,4637,4436,4494,4385,4082,4032,4114,4013,3919,3702,3411,3333,3113,3170,3061,2973,2747,2786,2999,2634,2547,2688,2283,2291,2002,1813,2467,1453,1831,2158,2320,2292,2282,2349,2255,2166,2169,1941,1945,1866,1883,1713,1640,1408,1467,1154,1016,857,764,676,588,611,502,414,395,321,315,220,190,132,92,87,46,42,31,24,72,5,6,16,2471,2780,2836,2742,3001,3080,3184,3388,3190,3263,3339,3364,3458,3557,3712,3885,3956,4168,4088,4263,4260,4465,4350,4229,4269,4157,4182,4106,4143,4263,4294,4351,4215,4426,4066,3859,3838,3961,3745,3814,3680,3165,3175,2917,2950,3011,2802,2705,2711,2856,2640,2556,2543,2319,2312,2078,1828,2519,1622,2062,2340,2498,2507,2472,2400,2493,2408,2502,2196,2260,2114,2089,2086,1853,1687,1830,1552,1367,1261,1149,1104,977,1041,850,730,792,661,667,487,393,343,260,192,121,103,81,63,98,28,8,35
"01","Araba/Álava",1098,1128,1093,1052,1140,1126,1182,1187,1233,1314,1335,1406,1493,1606,1681,1772,1943,2074,2150,2315,2432,2576,2489,2509,2494,2472,2560,2334,2401,2476,2442,2464,2465,2519,2371,2318,2311,2290,2318,2267,2208,2174,2027,2044,2076,2166,1986,1963,2077,2172,2040,2002,2022,1979,1868,1657,1508,1705,1231,1367,1403,1633,1557,1487,1524,1480,1445,1344,1181,1214,1030,1021,997,868,835,796,702,605,501,498,437,399,362,316,275,270,221,188,166,119,94,82,57,43,32,22,17,11,4,4,3,1029,1053,1005,982,1092,1096,1079,1162,1134,1292,1240,1290,1535,1492,1611,1688,1898,1907,2109,2229,2177,2442,2456,2438,2366,2369,2453,2363,2358,2288,2391,2446,2482,2461,2395,2451,2361,2406,2272,2288,2241,2183,2140,2031,2036,2034,1961,1931,2046,2060,1909,1894,1982,1798,1783,1462,1402,1546,1217,1176,1273,1632,1463,1464,1474,1449,1452,1443,1278,1289,1180,1199,1200,1120,1068,1069,958,921,769,786,725,695,666,630,618,531,458,383,363,303,217,198,136,116,100,63,57,39,15,15,14
"33","Asturias",2654,2940,3266,3232,3567,3707,3900,3914,4030,4335,4680,5197,5485,5640,6066,6345,6847,7455,7814,8339,8747,9107,8921,8706,8359,8413,8303,7975,7790,7527,7922,7756,7780,7963,7875,8031,8002,8294,8269,8156,8345,8054,7716,7616,7684,7696,7241,7355,7429,7558,6932,7092,6986,6383,6174,5234,5027,5337,4186,4765,5180,6340,6222,6613,6680,6814,6378,6518,5917,6017,5581,5529,5180,4995,4543,4338,3951,3526,2881,2508,2264,2078,1845,1707,1478,1289,1127,890,744,567,462,350,242,220,151,93,68,48,23,27,28,2403,2874,3109,3166,3282,3596,3665,3781,3901,4095,4431,4756,5109,5416,5701,6085,6643,7106,7509,7887,8442,8435,8498,8545,8254,8319,8047,7732,7624,7498,7748,7694,7803,8124,8083,8050,8077,8511,8494,8577,8533,8457,8090,7860,7878,7792,7216,7203,7664,7801,7251,7278,7432,6785,6619,5347,5204,5472,4559,5382,5735,7179,6834,7224,7354,7752,7146,7637,7192,7326,6809,6836,6648,6510,6235,6315,5363,5373,4690,4586,4030,3857,3545,3582,3112,2985,2457,2373,1843,1610,1238,1076,848,633,496,321,225,203,79,50,104
"05","Ávila",316,424,660,663,722,752,733,759,806,850,841,906,853,930,888,1010,1020,1109,1094,1196,1207,1251,1243,1208,1174,1141,1137,1170,1211,1145,1199,1209,1219,1257,1301,1275,1298,1304,1280,1237,1190,1143,1147,1044,1045,1085,971,967,1025,1028,979,884,990,948,924,827,763,946,662,761,889,1054,1049,1099,1089,1169,1099,1219,1102,1088,1010,1057,987,1028,957,935,883,740,619,559,500,469,448,389,373,313,305,263,214,185,143,128,92,68,55,36,29,21,6,6,10,276,401,653,626,666,670,706,797,797,758,776,831,864,895,903,937,962,977,1087,1111,1077,1075,1113,1079,1124,1127,1089,1074,1140,1130,1156,1198,1108,1162,1148,1194,1175,1196,1071,1114,1021,944,907,890,813,861,790,842,877,915,821,839,876,852,854,801,767,953,689,759,853,1146,972,1109,1092,1202,1159,1220,1165,1148,1146,1153,1161,1155,1106,1154,1029,949,783,738,674,671,659,631,603,533,501,371,374,310,237,174,178,132,87,80,44,43,23,12,23
"06","Badajoz",1556,2344,3598,3690,3905,4159,4219,4362,4413,4555,4460,4502,4440,4808,4837,5082,5131,5218,5286,5363,5285,5438,5413,5445,5433,5411,5235,5238,5175,5351,5171,5306,5405,5659,5501,5359,5182,5358,4943,4986,4561,4306,4063,3762,3969,3992,3725,3308,3627,3826,3612,3101,3506,3617,3620,2883,2283,3395,2278,2587,3083,3757,3781,3443,3732,3773,3616,3232,3300,3342,2989,2934,2691,2513,2492,2254,2241,1749,1503,1328,1113,991,887,856,789,701,590,537,411,345,273,179,148,100,75,67,41,26,17,5,15,1689,2685,3423,3513,3807,3927,3985,4094,4203,4198,4204,4164,4216,4467,4501,4860,4795,5095,5010,5247,5050,5210,5104,5083,5054,5088,5124,5037,5055,5114,5349,5139,5210,5500,5205,5084,4877,4870,4683,4567,4181,3900,3750,3522,3528,3528,3442,3139,3364,3842,3374,2944,3446,3491,3554,2954,2443,3663,2613,2721,3172,4134,3947,3781,4054,4111,3854,3781,3700,3676,3505,3473,3243,3260,3198,2955,2828,2668,2335,2185,1955,1806,1746,1717,1482,1491,1356,1142,902,774,654,526,357,267,242,187,121,81,28,23,42
"07","Balears, Illes",3463,3775,4010,4090,4162,4531,4581,4559,4528,4524,4461,4565,4799,4934,5061,5261,5413,5658,5790,5947,6047,6389,6522,6621,6799,6883,6866,6732,6613,6736,6878,6953,6888,7133,6659,6266,6242,6552,6194,6059,5892,5771,5588,5527,5521,5716,5204,5081,5169,5608,5064,5001,5050,4784,4621,4117,3701,4259,3191,3287,3531,3896,3639,3684,3773,3597,3407,3375,3177,2993,3027,2945,2670,2602,2431,2238,2230,2069,1651,1622,1427,1336,1206,1141,947,802,702,540,546,383,275,202,149,104,77,59,36,26,11,7,10,3213,3584,3856,3812,4045,4255,4224,4302,4304,4294,4270,4388,4456,4730,4730,4922,5202,5466,5467,5759,5938,6009,6219,6468,6535,6614,6820,6552,6671,6679,6775,6809,6792,7006,6643,6396,6295,6493,6130,6063,6106,5680,5705,5410,5360,5416,4994,4948,5063,5543,4938,4777,4666,4655,4673,4064,3639,4003,3269,3404,3710,4003,4018,3748,4127,3896,3814,3800,3717,3705,3566,3544,3428,3398,3169,3216,2882,2947,2452,2473,2218,2183,2055,1880,1707,1472,1366,1124,987,838,715,543,399,317,226,192,109,82,44,37,47
"08","Barcelona",17363,20222,20466,20760,20685,21387,21145,21443,21724,21973,21910,22553,23810,25217,26472,28586,30629,32417,35076,37762,38798,40536,42191,41991,40819,40365,39970,38965,38251,38057,39145,38661,37973,38534,35947,35140,34235,34518,33958,34084,33306,31986,31354,30587,31003,31418,29542,28944,31174,32935,30488,28706,30967,29052,28358,24222,22750,29630,16974,20857,24932,25716,24555,24151,24743,23829,22928,22557,20882,20274,18896,18921,17706,16814,15633,14552,13628,11102,9247,8659,7512,7108,6471,5901,5131,4485,3742,3229,2583,2080,1583,1219,917,640,501,323,216,159,91,52,84,16282,18744,19347,19769,19885,20467,20113,20216,20430,20913,20550,21683,22704,24143,25429,27147,28874,31017,32821,35880,37668,38820,40193,39863,39413,39109,38292,38060,37100,37266,38115,37415,37363,37964,36177,35249,35018,35366,35470,35596,34794,32916,32594,31925,32395,32591,30926,30150,32378,34849,31484,29860,32013,30407,29468,24965,23430,29781,17596,21462,25726,28544,26891,26364,27692,27445,26729,27010,25250,25049,24092,24502,23382,22780,21572,21285,19439,18548,15834,15500,14077,13275,12536,12107,10657,10017,8617,7715,6587,5262,4540,3578,2824,2111,1656,1220,773,624,316,154,328
"48","Bizkaia",4058,4050,4029,3985,4239,4381,4270,4465,4514,4718,4834,5334,5525,5930,6236,6621,7295,7589,8203,8996,9524,9840,9783,9673,9695,9918,9794,9447,9510,9344,9463,9520,9510,9900,9382,9192,8871,9151,9345,8882,9019,8356,8136,7846,7798,7835,7323,7564,7815,7951,7463,7145,7370,7219,6940,6079,5816,6458,4752,5209,5826,6413,6544,6640,6765,6634,6305,6179,5760,5659,5246,4983,4494,4196,3802,3428,3063,2694,2245,1917,1775,1590,1391,1277,1158,1019,764,642,518,461,321,273,206,150,107,87,47,40,22,6,22,3763,3948,3789,3910,3932,4097,4155,4175,4361,4617,4683,4999,5220,5568,6014,6421,6850,7345,7922,8566,8924,9495,9541,9451,9111,9373,9341,9146,8967,9029,9035,9242,9460,9765,9501,9212,9155,9278,9423,9126,9026,8530,8255,7936,7962,7892,7350,7768,7864,8108,7454,7371,7878,7424,7150,6130,5961,6709,5086,5528,6249,7488,6852,7065,7253,7402,6935,6971,6370,6581,6113,6044,5896,5528,5195,4969,4543,4312,3644,3531,3303,2994,2850,2826,2536,2285,1909,1887,1543,1288,1079,820,640,486,352,270,194,150,73,51,81
